Date,Open,High,Low,Close,Volume,Market Cap
24-Aug-13,118.51,121.39,118.02,120.05,-,"1,374,420,000"
25-Aug-13,119.6,122.99,119.17,122.11,-,"1,387,640,000"
26-Aug-13,122.11,122.76,119.93,120.06,-,"1,417,200,000"
27-Aug-13,120.07,127.24,120.07,126.5,-,"1,394,010,000"
28-Aug-13,126.48,127.32,122.62,122.62,-,"1,468,960,000"
29-Aug-13,122.62,123.7,122.21,122.39,-,"1,424,680,000"
30-Aug-13,122.35,135.75,120.99,133.49,-,"1,422,120,000"
31-Aug-13,133.09,140.89,132.72,135.35,-,"1,547,640,000"
1-Sep-13,135.14,145.81,134.81,138.34,-,"1,572,230,000"
2-Sep-13,138.63,146.5,134.89,135.85,-,"1,613,600,000"
3-Sep-13,135.61,138.34,133,136.77,-,"1,579,180,000"
4-Sep-13,136.53,144.5,123.61,126.74,-,"1,590,550,000"
5-Sep-13,126.76,131.44,121.83,126.43,-,"1,477,250,000"
6-Sep-13,126.49,127.34,119.15,119.15,-,"1,474,670,000"
7-Sep-13,118.89,125.94,118.46,124.15,-,"1,386,610,000"
8-Sep-13,124.13,124.72,120.49,121.66,-,"1,448,180,000"
9-Sep-13,121.86,129.06,119.75,127.11,-,"1,422,180,000"
10-Sep-13,127.27,129.74,125.9,125.91,-,"1,485,960,000"
11-Sep-13,125.89,137.83,123.27,135.25,-,"1,470,450,000"
12-Sep-13,135.55,136.08,131.81,133.13,-,"1,583,960,000"
13-Sep-13,132.83,137.58,132.27,134.98,-,"1,552,880,000"
14-Sep-13,135.01,135.85,128.87,129.22,-,"1,579,050,000"
15-Sep-13,129.4,131.44,128.26,130.37,-,"1,514,140,000"
16-Sep-13,130.86,132.72,129.77,131.72,-,"1,531,820,000"
17-Sep-13,131.59,132.76,124.89,131.66,-,"1,540,880,000"
18-Sep-13,131.71,133.2,130.54,131.47,-,"1,542,870,000"
19-Sep-13,131.37,131.77,128.45,129.65,-,"1,539,430,000"
20-Sep-13,129.7,135.62,126.68,127.04,-,"1,520,470,000"
21-Sep-13,126.95,128.61,126.24,127.43,-,"1,488,870,000"
22-Sep-13,127.87,133.94,126.59,129.12,-,"1,500,260,000"
23-Sep-13,128.98,132.73,125.66,125.95,-,"1,513,940,000"
24-Sep-13,126.05,127.46,125.39,127.25,-,"1,480,210,000"
25-Sep-13,127.38,129.69,127.33,128.22,-,"1,496,510,000"
26-Sep-13,128.21,134.93,127.32,128.38,-,"1,506,920,000"
27-Sep-13,128.94,134.74,128.49,133.78,-,"1,516,020,000"
28-Sep-13,133.77,135.63,132.56,134.78,-,"1,573,400,000"
29-Sep-13,134.9,140.61,134.71,137.34,-,"1,587,290,000"
30-Sep-13,137.15,138.35,130.27,133,-,"1,614,350,000"
1-Oct-13,132.68,134.63,131.55,132.18,-,"1,562,270,000"
2-Oct-13,132.05,133.59,102.25,114.13,-,"1,555,470,000"
3-Oct-13,114.45,123.63,111.82,123.63,-,"1,348,700,000"
4-Oct-13,123.41,130.09,123.41,129.01,-,"1,454,900,000"
5-Oct-13,128.63,130.44,128.03,128.55,-,"1,517,020,000"
6-Oct-13,128.36,129.66,126.15,129,-,"1,514,540,000"
7-Oct-13,129.43,130.27,126.36,126.94,-,"1,527,760,000"
8-Oct-13,126.74,127.47,124.71,126,-,"1,496,500,000"
9-Oct-13,125.85,131.75,125.58,130.69,-,"1,486,510,000"
10-Oct-13,130.67,131.5,129.26,130.59,-,"1,544,020,000"
11-Oct-13,130.75,131.81,129.64,130.9,-,"1,545,600,000"
12-Oct-13,130.9,135.66,130.56,135.19,-,"1,547,970,000"
13-Oct-13,135.19,138.66,134.55,138.13,-,"1,599,430,000"
14-Oct-13,139.27,144.12,138.9,140.52,-,"1,648,470,000"
15-Oct-13,140.77,145.39,139.13,145.24,-,"1,667,100,000"
16-Oct-13,145.65,152.23,142.43,142.55,-,"1,725,840,000"
17-Oct-13,142.41,147.42,142.41,146.25,-,"1,688,200,000"
18-Oct-13,146.37,155.96,145.57,155.96,-,"1,735,750,000"
19-Oct-13,155.91,177.48,155.7,172.42,-,"1,849,630,000"
20-Oct-13,171.66,174.91,168.95,174.61,-,"2,037,440,000"
21-Oct-13,174.8,184.82,174.8,182.21,-,"2,075,580,000"
22-Oct-13,182.65,196.27,182.65,193.76,-,"2,169,750,000"
23-Oct-13,193.36,213.62,192.38,213.62,-,"2,298,160,000"
24-Oct-13,214.3,217.42,168.52,198.23,-,"2,548,230,000"
25-Oct-13,197.69,198.87,168.5,186.69,-,"2,351,780,000"
26-Oct-13,187.45,188.41,175.75,177.32,-,"2,231,070,000"
27-Oct-13,176.6,196.44,176.6,196.44,-,"2,102,730,000"
28-Oct-13,196.21,198.62,192.06,198.55,-,"2,337,100,000"
29-Oct-13,198.55,204.79,198.55,204.39,-,"2,365,840,000"
30-Oct-13,204.39,209.16,199.97,199.97,-,"2,436,240,000"
31-Oct-13,199.83,205.18,198.85,204,-,"2,382,870,000"
1-Nov-13,203.9,206.65,202.13,206.18,-,"2,432,470,000"
2-Nov-13,205.81,207.76,201.65,206.22,-,"2,456,330,000"
3-Nov-13,205.99,215.05,203.99,215.05,-,"2,459,520,000"
4-Nov-13,214.66,231.01,213.94,229.1,-,"2,564,070,000"
5-Nov-13,229.21,250.66,226.22,245.24,-,"2,738,980,000"
6-Nov-13,244.78,263,244.78,262.5,-,"2,926,100,000"
7-Nov-13,261.68,304.17,261.55,296.41,-,"3,129,190,000"
8-Nov-13,297.85,338.66,296.93,338.11,-,"3,562,790,000"
9-Nov-13,338.58,370.82,319.71,339.11,-,"4,051,120,000"
10-Nov-13,348.82,350.7,277.24,326.62,-,"4,174,930,000"
11-Nov-13,325.41,351.27,311.78,342.44,-,"3,896,130,000"
12-Nov-13,343.06,362.81,342.8,360.33,-,"4,109,060,000"
13-Nov-13,360.97,414.05,359.8,407.37,-,"4,325,400,000"
14-Nov-13,406.41,425.9,395.19,420.2,-,"4,871,600,000"
15-Nov-13,419.41,437.89,396.11,417.95,-,"5,029,340,000"
16-Nov-13,417.28,450.26,415.57,440.22,-,"5,005,530,000"
17-Nov-13,440.96,500.58,440.24,492.11,-,"5,291,730,000"
18-Nov-13,496.58,703.78,494.94,703.56,-,"5,961,500,000"
19-Nov-13,712.76,806.11,456.39,584.61,-,"8,559,550,000"
20-Nov-13,577.98,599.65,448.45,590.83,-,"6,943,300,000"
21-Nov-13,594.32,733.4,577.29,722.43,-,"7,142,030,000"
22-Nov-13,724.07,780.85,668.13,771.44,-,"8,703,970,000"
23-Nov-13,771.7,844.97,771.7,797.82,-,"9,279,850,000"
24-Nov-13,795.63,807.36,722.87,774.25,-,"9,570,990,000"
25-Nov-13,773.02,810.68,754.43,799.11,-,"9,302,270,000"
26-Nov-13,805.73,928.54,800.8,928.1,-,"9,699,360,000"
27-Nov-13,923.85,"1,001.96",891.68,"1,001.96",-,"11,124,900,000"
28-Nov-13,"1,003.38","1,077.56",962.17,"1,031.95",-,"12,087,000,000"
29-Nov-13,"1,042.01","1,146.97","1,000.64","1,131.97",-,"12,557,100,000"
30-Nov-13,"1,129.37","1,156.14","1,106.61","1,129.43",-,"13,614,700,000"
1-Dec-13,"1,128.92","1,133.08",801.82,955.85,-,"13,614,300,000"
2-Dec-13,951.42,"1,055.42",938.41,"1,043.33",-,"11,478,300,000"
3-Dec-13,"1,046.40","1,096.00","1,011.21","1,078.28",-,"12,628,300,000"
4-Dec-13,"1,077.58","1,156.12","1,070.16","1,151.17",-,"13,010,000,000"
5-Dec-13,"1,152.73","1,154.36",897.11,"1,045.11",-,"13,922,300,000"
6-Dec-13,"1,042.38","1,042.38",829.45,829.45,-,"12,593,900,000"
7-Dec-13,835.32,854.64,640.22,698.23,-,"10,096,600,000"
8-Dec-13,697.31,802.51,670.88,795.87,-,"8,431,860,000"
9-Dec-13,793.8,921.93,780.9,893.19,-,"9,602,480,000"
10-Dec-13,892.32,997.23,892.32,988.51,-,"10,798,200,000"
11-Dec-13,989.07,"1,001.58",834.23,878.48,-,"11,973,700,000"
12-Dec-13,882.78,901.94,844.95,873.26,-,"10,690,600,000"
13-Dec-13,874.98,941.79,860.05,892.58,-,"10,599,700,000"
14-Dec-13,899.85,904.65,858.36,872.6,-,"10,904,900,000"
15-Dec-13,875.29,886.16,825,876.12,-,"10,611,600,000"
16-Dec-13,880.33,882.25,668.25,705.97,-,"10,676,600,000"
17-Dec-13,706.37,754.83,630.88,682.12,-,"8,570,390,000"
18-Dec-13,678.2,679.32,420.51,522.7,-,"8,232,040,000"
19-Dec-13,519.06,707.23,502.89,691.96,-,"6,302,970,000"
20-Dec-13,694.22,729.16,595.33,625.32,-,"8,433,870,000"
21-Dec-13,619.9,654.27,579.17,605.66,-,"7,533,740,000"
22-Dec-13,601.78,666.74,585.64,617.18,-,"7,315,940,000"
23-Dec-13,613.06,680.91,611.04,673.41,-,"7,455,670,000"
24-Dec-13,672.36,684.39,645.71,665.58,-,"8,179,730,000"
25-Dec-13,666.31,682.7,649.48,682.21,-,"8,108,930,000"
26-Dec-13,683.94,777.75,683.94,761.98,,"8,326,270,000"
27-Dec-13,763.28,777.51,713.6,735.07,46862700,"9,295,570,000"
28-Dec-13,737.98,747.06,705.35,727.83,32505800,"8,990,850,000"
29-Dec-13,728.05,748.61,714.44,745.05,19011300,"8,872,600,000"
30-Dec-13,741.35,766.6,740.24,756.13,20707700,"9,037,000,000"
31-Dec-13,760.32,760.58,738.17,754.01,20897300,"9,268,240,000"
1-Jan-14,754.97,775.35,754.97,771.4,22489400,"9,203,030,000"
2-Jan-14,773.44,820.31,767.21,802.39,38489500,"9,428,180,000"
3-Jan-14,802.85,834.15,789.12,818.72,37810100,"9,786,680,000"
4-Jan-14,823.27,859.51,801.67,859.51,38005000,"10,035,600,000"
5-Jan-14,858.55,952.4,854.52,933.53,72898500,"10,465,700,000"
6-Jan-14,936.05,"1,017.12",905.71,953.29,85565700,"11,410,400,000"
7-Jan-14,946.49,965.74,802,802,81311700,"11,571,400,000"
8-Jan-14,795.99,870.68,776.18,842.72,74175600,"9,734,800,000"
9-Jan-14,841.47,864.36,804.14,846.86,59998600,"10,295,100,000"
10-Jan-14,846.69,871.19,822.6,868.48,31876800,"10,363,300,000"
11-Jan-14,867.32,921.48,861.72,913.95,44754200,"10,619,900,000"
12-Jan-14,919.6,928.52,851.17,863.22,39623500,"11,264,800,000"
13-Jan-14,860.19,861.29,806.05,841.2,45580900,"10,541,500,000"
14-Jan-14,843.17,855.69,825.66,833.27,20829800,"10,336,500,000"
15-Jan-14,833.12,872.81,830.86,860.9,28107200,"10,216,700,000"
16-Jan-14,860.29,866.16,835.63,835.63,19149300,"10,553,800,000"
17-Jan-14,834.49,842.91,797.63,814.64,39031700,"10,241,200,000"
18-Jan-14,816.07,841.49,816.07,840,18052700,"10,018,200,000"
19-Jan-14,839.66,870.96,825.53,870.96,24365700,"10,311,500,000"
20-Jan-14,871.39,886.39,853.87,870.2,27652700,"10,704,800,000"
21-Jan-14,869.65,881.2,855.93,863.91,18997300,"10,687,700,000"
22-Jan-14,867.21,870.15,837.36,845.59,18453700,"10,661,400,000"
23-Jan-14,845.46,851.57,819.32,822.04,15607100,"10,398,000,000"
24-Jan-14,822.43,822.43,783.58,797.07,34912000,"10,118,400,000"
25-Jan-14,796.24,861.45,792.96,853.61,24303900,"9,799,920,000"
26-Jan-14,853.68,897.02,844.86,885.28,32224300,"10,510,400,000"
27-Jan-14,884.6,893,757.11,771.39,49233600,"10,894,400,000"
28-Jan-14,774.02,832.5,766.98,812.51,44875500,"9,535,950,000"
29-Jan-14,809.96,836.87,809.85,826,17984400,"9,981,850,000"
30-Jan-14,826.02,830.5,799.06,819.03,29918200,"10,182,900,000"
31-Jan-14,818.43,831.87,812.6,829.92,17107900,"10,092,900,000"
1-Feb-14,828.61,853.52,827.11,832.58,19668700,"10,222,300,000"
2-Feb-14,832.9,844.72,820.67,825.37,11300900,"10,279,200,000"
3-Feb-14,824.08,826.48,807.22,823.83,13940100,"10,174,100,000"
4-Feb-14,823.77,840.17,820.94,827.96,16609700,"10,174,000,000"
5-Feb-14,829.96,837.32,811.91,811.91,22395100,"10,254,100,000"
6-Feb-14,815.59,819.81,770.59,781.55,50108700,"10,079,900,000"
7-Feb-14,783.2,783.2,654.35,712.4,113643000,"9,683,190,000"
8-Feb-14,699.57,721.82,661.87,673.92,38742600,"8,651,930,000"
9-Feb-14,671.46,712.27,655.25,682.9,39311400,"8,307,340,000"
10-Feb-14,681.32,703.71,550.5,681.03,112758000,"8,431,680,000"
11-Feb-14,683.5,712.46,636.66,672.17,72745200,"8,461,320,000"
12-Feb-14,672.38,672.9,643.04,651.72,25367600,"8,326,420,000"
13-Feb-14,651.08,657.99,601.91,605.24,38588100,"8,065,550,000"
14-Feb-14,601.17,691.72,541.04,661.99,102506000,"7,449,940,000"
15-Feb-14,660.9,661.84,632.84,650.92,26709200,"8,193,290,000"
16-Feb-14,651.3,665.1,584.17,616.63,40061700,"8,077,340,000"
17-Feb-14,614.23,656.95,607.31,626.27,31948400,"7,620,580,000"
18-Feb-14,627.16,645.76,612.54,626.6,20015100,"7,783,430,000"
19-Feb-14,625.97,631.77,618.7,623.03,13897800,"7,771,210,000"
20-Feb-14,623.09,627.73,556.14,556.14,46905000,"7,738,580,000"
21-Feb-14,556.88,582.96,530.47,574.16,47308100,"6,918,730,000"
22-Feb-14,574.24,614.48,558.58,605.42,31254000,"7,136,600,000"
23-Feb-14,606.47,639.91,599.7,605.82,31434400,"7,539,890,000"
24-Feb-14,606.04,607.61,538.7,546.32,57893900,"7,537,080,000"
25-Feb-14,540.24,541.38,420.41,538.71,126314000,"6,721,330,000"
26-Feb-14,537.04,603.8,532.58,582.69,64642700,"6,683,680,000"
27-Feb-14,581.65,594.05,566.62,578.77,25540800,"7,241,560,000"
28-Feb-14,579.7,584.14,545.17,549.26,28076100,"7,219,990,000"
1-Mar-14,549.92,573.38,539.29,565.61,18668100,"6,851,590,000"
2-Mar-14,567.23,570.48,553.27,559.79,7950760,"7,069,290,000"
3-Mar-14,562.56,702.91,560.52,667.76,96056900,"7,013,060,000"
4-Mar-14,668.24,696.22,655.68,666.78,55344600,"8,332,950,000"
5-Mar-14,666.24,674.28,646.28,665.51,22461900,"8,310,510,000"
6-Mar-14,664.52,669.77,649.79,663.86,16068100,"8,291,650,000"
7-Mar-14,664.31,665.34,616.35,629.15,34150800,"8,291,900,000"
8-Mar-14,629.66,635.14,604.46,617.45,18654200,"7,862,010,000"
9-Mar-14,616.31,643.95,612.35,636.96,15396500,"7,697,910,000"
10-Mar-14,636.33,644.76,615.02,627.79,20639800,"7,950,820,000"
11-Mar-14,627.95,638.42,618.84,634.11,11732500,"7,848,450,000"
12-Mar-14,631.91,648.03,629.51,632.1,18621200,"7,900,600,000"
13-Mar-14,633.62,644.2,630.85,638.14,11634900,"7,924,860,000"
14-Mar-14,638.14,639.53,627.21,628.8,11913800,"7,983,980,000"
15-Mar-14,629.37,639.14,627.3,636.12,4342080,"7,876,360,000"
16-Mar-14,636.5,637.52,628.11,631.11,5277290,"7,968,200,000"
17-Mar-14,630.92,632.68,616.86,622.37,14648200,"7,901,040,000"
18-Mar-14,621.84,622.39,603.8,614.83,24011500,"7,789,810,000"
19-Mar-14,613.9,622,609.1,609.89,14228900,"7,692,450,000"
20-Mar-14,609.75,609.75,587.49,588.77,20572900,"7,642,910,000"
21-Mar-14,588.29,604.59,561.81,571.49,38414100,"7,376,710,000"
22-Mar-14,571.18,572.55,554.39,565.04,17360700,"7,164,770,000"
23-Mar-14,565.76,570.24,560.88,561.27,9288400,"7,099,230,000"
24-Mar-14,562.51,586.56,551.77,583.41,22706900,"7,061,380,000"
25-Mar-14,585.03,585.44,572.61,583.92,14020100,"7,346,810,000"
26-Mar-14,583.48,590.03,570.96,580.83,16401100,"7,329,720,000"
27-Mar-14,580.26,580.56,471.24,471.24,62225400,"7,291,520,000"
28-Mar-14,477.14,526.02,473.23,495.67,58828300,"5,997,850,000"
29-Mar-14,501.71,504.86,489.73,491.17,11147100,"6,308,890,000"
30-Mar-14,492.37,492.37,444.18,460.27,42958300,"6,193,560,000"
31-Mar-14,462.3,483.02,443.37,457,28254000,"5,816,910,000"
1-Apr-14,457,495.34,457,478.38,35685800,"5,752,280,000"
2-Apr-14,479.14,495.05,431.27,437.14,49647600,"6,032,970,000"
3-Apr-14,436.44,449.57,414.89,444.72,40765500,"5,497,550,000"
4-Apr-14,445.66,454.65,429.09,447.53,22925500,"5,615,980,000"
5-Apr-14,446.68,463.57,444.2,461.91,13404500,"5,630,890,000"
6-Apr-14,463.4,466.32,452.97,460.5,10241400,"5,843,670,000"
7-Apr-14,461.47,462.56,445.12,449.42,15616600,"5,821,160,000"
8-Apr-14,447.61,457.42,446.11,453.09,10921600,"5,648,000,000"
9-Apr-14,453.18,455.73,441.93,442.73,13204400,"5,719,730,000"
10-Apr-14,442.26,443.37,358.73,365.18,55868300,"5,583,670,000"
11-Apr-14,363.71,429.77,351.27,420.95,62562800,"4,593,400,000"
12-Apr-14,420.89,439.61,415.79,421.12,19226500,"5,317,310,000"
13-Apr-14,421.46,427.4,395.25,414.06,22493500,"5,326,230,000"
14-Apr-14,414.83,469.75,407.37,458.79,50730200,"5,244,350,000"
15-Apr-14,458.37,519,453.54,515.59,49561000,"5,797,070,000"
16-Apr-14,522.19,542.38,502.78,527.4,56480100,"6,606,460,000"
17-Apr-14,529.07,533.52,484.87,495.96,34025500,"6,695,650,000"
18-Apr-14,495.8,498.6,472.74,479.65,19042400,"6,276,700,000"
19-Apr-14,479.58,503.56,470.56,501.57,19588200,"6,073,340,000"
20-Apr-14,501.75,510.87,490.84,498.17,12103100,"6,356,070,000"
21-Apr-14,497.74,510.57,493.2,495.77,15171400,"6,307,460,000"
22-Apr-14,495.46,503.22,487.58,487.92,11670900,"6,280,640,000"
23-Apr-14,488.36,493.25,485.82,491.3,9814530,"6,192,560,000"
24-Apr-14,490.83,500.47,482.95,500.47,13009400,"6,225,860,000"
25-Apr-14,500.09,500.3,442.95,461.45,46856500,"6,345,230,000"
26-Apr-14,461.71,464.54,449.1,458.6,12214600,"5,860,330,000"
27-Apr-14,457.24,459.33,436.39,436.39,10949500,"5,805,530,000"
28-Apr-14,430.72,447.53,422.94,440.29,23876600,"5,470,650,000"
29-Apr-14,439.98,451.64,435.18,447.21,16401400,"5,590,030,000"
30-Apr-14,446.89,451.1,436.7,447.65,15244900,"5,679,680,000"
1-May-14,447.63,460.61,447.63,457.76,12871800,"5,690,670,000"
2-May-14,457.36,457.93,443.4,449.38,10394200,"5,816,390,000"
3-May-14,449.4,449.4,430.68,437.76,9849640,"5,716,960,000"
4-May-14,438.52,439.77,430.05,436.4,5621260,"5,580,030,000"
5-May-14,434.78,440.97,427.62,433.48,10004800,"5,534,140,000"
6-May-14,433.36,448.04,423.25,428.96,12507300,"5,517,460,000"
7-May-14,429.34,446.13,428.45,438.82,18332200,"5,468,310,000"
8-May-14,438.68,448.4,438.14,440.17,9446580,"5,588,990,000"
9-May-14,440.18,452.69,440.14,449.46,10347900,"5,609,930,000"
10-May-14,450.46,455.77,448.47,454.43,6682600,"5,742,830,000"
11-May-14,453.92,455.34,433.4,438.89,12251700,"5,789,010,000"
12-May-14,438.3,442.26,434.23,441.46,7383770,"5,591,520,000"
13-May-14,441.53,441.98,436.97,440.67,7682670,"5,634,510,000"
14-May-14,440.59,446.66,440.5,443.97,9472960,"5,624,310,000"
15-May-14,444.14,449.8,443.63,447.25,7362980,"5,671,210,000"
16-May-14,447.39,450.66,444.96,448.06,6475100,"5,714,640,000"
17-May-14,448.12,451.98,447.3,448.9,2945790,"5,725,990,000"
